"division_numeric_code","start_date","end_date","is_in_union","age_range","data_series_type","group_type_relative_to_baseline","contraceptive_use_modern","contraceptive_use_traditional","contraceptive_use_any","unmet_need_any","geographical_region_bias_reason","has_non_pregnant_and_other_positive_biases","age_group_bias","modern_method_bias","has_absence_of_probing_questions_bias","se_modern","se_traditional","se_unmet_need","se_log_r_modern_no_use","se_log_r_traditional_no_use","se_log_r_unmet_no_need","source_id"
76,2006.832877,2007.408219,"Y","15-49","National survey","MW",0.771,0.035,0.806,0.06,"","N","None","None","N",NA,NA,NA,NA,NA,NA,2952
76,2013,2013,"Y","15-49","National survey","MW",0.7767249424,0.02528005332,0.8020049957,NA,"","N","+","None","N",NA,NA,NA,NA,NA,NA,6006
100,1976.833333,1976.997268,"Y","15-49","Other","MW",0.06,0.691,0.751,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,4961
100,1995,1995,"Y","15-49","National survey","MW",0.456,0.403,0.859,NA,"","N","?","None","N",NA,NA,NA,NA,NA,NA,2851
100,1997.832877,1998.243836,"Y","15-49","Other","MW",0.396,0.238,0.634,0.297,"","N","+","None","Y",NA,NA,NA,NA,NA,NA,2870
100,2004.833333,2005,"Y","15-49","Other","MW",0.368,0.276,0.644,NA,"","N","+","+","Y",NA,NA,NA,NA,NA,NA,5428
100,2007.246575,2007.493151,"Y","15-49","Other","MW",0.396,0.305,0.701,NA,"","N","+","-","Y",NA,NA,NA,NA,NA,NA,5429
854,1992.915301,1993.243836,"Y","15-49","DHS","MW",0.04185773992,0.03744927643,0.07930701634,0.2458719833,"","N","None","None","N",0.003190207,0.004147212,0.009160855,0.080160923,0.11557096,0.050653082,1776
854,1998.832877,1999.243836,"Y","15-49","DHS","MW",0.04829604657,0.07039432084,0.1186903674,0.3029218648,"","N","None","None","N",0.003818508,0.008329421,0.008909653,0.084225153,0.12798552,0.042075263,1777
854,2003.413699,2003.912329,"Y","15-49","DHS","MW",0.08766270355,0.05012746269,0.1377901662,0.2983143448,"","N","None","None","N",0.005591599,0.00383012,0.006673281,0.070624293,0.081420636,0.032437786,1787
854,2006.238356,2006.449315,"Y","15-49","MICS","MW",0.143290945,0.03141805827,0.1747090032,NA,"","N","None","None","Y",0.011907709,0.00598999,NA,0.103072659,0.208926326,NA,136
854,2010.328767,2011.082192,"Y","15-49","DHS","MW",0.1501640497,0.01160723485,0.1617712845,0.2450462354,"","N","None","None","N",0.004791464,0.001392498,0.004275672,0.037888241,0.122545139,0.023825137,4494
854,2014.832877,2014.99726,"Y","15-49","PMA","MW",0.1836215747,0.00040566951,0.1840272442,0.3778273443,"","N","None","None","Y",0.017786934,0.000708392,0.028702622,0.120411738,1.002381989,0.130648211,5993
854,2015.328767,2015.493151,"Y","15-49","PMA","MW",0.2061070406,0.00576271833,0.2122557118,0.3116300215,"","N","None","None","N",0.023160853,0.001942099,0.027748758,0.144281833,0.296806508,0.134645882,5764
854,2016.163934,2016.412568,"Y","15-49","PMA","MW",0.2421286393,0.010947898,0.2535189663,0.2836074345,"","N","None","None","N",0.019056809,0.002473555,0.016736765,0.104601259,0.206103931,0.090748626,6107
854,2016.833333,2017.082192,"Y","15-49","PMA","MW",0.2472187776,0.00993004092,0.2571488185,0.2776177137,"","N","None","None","N",0.015075454,0.002082654,0.018526625,0.082178074,0.237973115,0.097741313,7483
854,2018.915068,2019.082192,"Y","15-49","PMA","MW",0.3048385789,0.01919659981,0.3250796729,0.2268848942,"","N","None","None","N",0.018579033,0.003421095,0.015676684,0.088601589,0.19710433,0.09887889,7719
854,2019.915068,2020.15847,"Y","15-49","PMA","MW",0.2772620503,0.01886916614,0.2963162699,0.2616680578,"","N","None","None","N",0.016021834,0.003980598,0.016263516,0.080447952,0.21039777,0.084395152,9010
854,2020.915301,2021.243836,"Y","15-49","PMA","MW",0.3198467054,0.03173737692,0.3516648908,0.2233276397,"","N","None","None","N",NA,NA,NA,NA,NA,NA,9097
108,1987.161644,1987.578082,"Y","15-49","DHS","MW",0.01232876243,0.07479625379,0.08712501622,0.251,"","N","None","None","N",NA,NA,NA,NA,NA,NA,1716
108,2000.29235,2000.385246,"Y","15-49","MICS","MW",0.1003921569,0.05647058824,0.1568627451,NA,"","N","None","None","Y",0.008402588,0.004716355,NA,0.0937377,0.089547147,NA,1905
108,2002,2002,"Y","15-49","National survey","MW",0.08484,0.11514,0.2,0.29,"","N","None","None","N",NA,NA,NA,NA,NA,NA,2919
108,2005.715068,2005.99726,"Y","15-49","MICS","MW",0.07821634964,0.01285418314,0.09107053278,NA,"","N","None","None","Y",0.004798852,0.001897048,NA,0.066677611,0.149791972,NA,148
108,2009,2009,"Y","15-49","National survey","MW",0.196,0.031,0.227,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,6035
108,2010.580822,2011.082192,"Y","15-49","DHS","MW",0.1773441974,0.04131393146,0.2186581289,0.3240371397,"","N","None","None","N",0.007194402,0.003155471,0.007582757,0.049687088,0.080369289,0.037287937,4950
108,2012.833333,2012.997268,"Y","15-49","National survey","MW",0.3,0.017,0.317,NA,"","N","None","None","Y",NA,NA,NA,NA,NA,NA,6033
108,2016.748634,2017.158904,"Y","15-49","DHS","MW",0.2247711239,0.06067225505,0.285443379,0.2971446651,"","N","None","None","N",0.006123434,0.003065662,0.005902903,0.035598296,0.054547747,0.030227143,6056
132,1988,1989,"Y","15-49","National survey","MW",0.19,0.048,0.238,NA,"","N","None","None","N",NA,NA,NA,NA,NA,NA,2779
